     number     value             datetime_start          datetime_complete               duration  params_batch_size params_dec_activation params_enc_activation  params_ilr  params_latent_space  params_n_layers     state
92       92  0.000029 2024-05-18 08:49:59.062933 2024-05-18 08:56:43.129880 0 days 00:06:44.066947                 64                 swish                  tanh    0.000100                   36                3  COMPLETE
25       25  0.000030 2024-05-18 07:32:29.693709 2024-05-18 07:35:20.511412 0 days 00:02:50.817703                256                   elu                   elu    0.000050                   36                2  COMPLETE
12       12  0.000031 2024-05-13 02:36:21.116354 2024-05-13 02:42:25.171461 0 days 00:06:04.055107                 64                  tanh                   elu    0.000500                   24                3  COMPLETE
27       27  0.000031 2024-05-18 07:32:29.697618 2024-05-18 07:35:26.446992 0 days 00:02:56.749374                256                   elu                   elu    0.000050                   36                2  COMPLETE
26       26  0.000033 2024-05-18 07:32:29.694628 2024-05-18 07:35:31.842756 0 days 00:03:02.148128                256                   elu                   elu    0.000050                   36                2  COMPLETE
140     140  0.000033 2024-05-20 07:35:11.036519 2024-05-20 07:43:20.813462 0 days 00:08:09.776943                 64                  tanh                  relu    0.000100                   36                2  COMPLETE
15       15  0.000035 2024-05-13 02:51:21.955483 2024-05-13 02:57:39.102944 0 days 00:06:17.147461                 64                  tanh                   elu    0.000500                   24                3  COMPLETE
17       17  0.000035 2024-05-13 03:04:40.146148 2024-05-13 03:10:53.887762 0 days 00:06:13.741614                 64                   elu                 swish    0.000010                   24                3  COMPLETE
9         9  0.000036 2024-05-13 02:23:05.322020 2024-05-13 02:28:20.276023 0 days 00:05:14.954003                 64                  tanh                   elu    0.001000                   24                2  COMPLETE
13       13  0.000038 2024-05-13 02:42:25.455511 2024-05-13 02:48:34.246221 0 days 00:06:08.790710                 64                   elu                  tanh    0.000500                   36                3  COMPLETE
153     153  0.000038 2024-05-20 08:01:48.365503 2024-05-20 08:09:44.115461 0 days 00:07:55.749958                 64                  tanh                  tanh    0.000500                   12                2  COMPLETE
103     103  0.000039 2024-05-18 09:00:12.835752 2024-05-18 09:05:47.513327 0 days 00:05:34.677575                 64                  tanh                  tanh    0.000005                   36                2  COMPLETE
16       16  0.000042 2024-05-13 02:57:39.419298 2024-05-13 03:04:39.837435 0 days 00:07:00.418137                 64                  tanh                   elu    0.000050                   36                4  COMPLETE
46       46  0.000043 2024-05-18 07:47:44.295080 2024-05-18 07:50:31.166913 0 days 00:02:46.871833                256                   elu                  relu    0.000100                   36                2  COMPLETE
14       14  0.000043 2024-05-13 02:48:34.557806 2024-05-13 02:51:21.585442 0 days 00:02:47.027636                256                   elu                   elu    0.000500                   24                3  COMPLETE
29       29  0.000043 2024-05-18 07:35:20.784377 2024-05-18 07:38:20.468030 0 days 00:02:59.683653                256                   elu                  tanh    0.000100                   36                3  COMPLETE
134     134  0.000043 2024-05-20 07:26:54.718435 2024-05-20 07:35:00.610658 0 days 00:08:05.892223                 64                  tanh                  tanh    0.000005                   36                2  COMPLETE
138     138  0.000044 2024-05-20 07:35:00.923276 2024-05-20 07:43:04.660941 0 days 00:08:03.737665                 64                  tanh                  relu    0.000100                   36                2  COMPLETE
0         0  0.000046 2024-05-13 01:44:23.198070 2024-05-13 01:50:27.301473 0 days 00:06:04.103403                 64                   elu                   elu    0.000050                   12                3  COMPLETE
133     133  0.000048 2024-05-20 07:26:54.351655 2024-05-20 07:35:10.148943 0 days 00:08:15.797288                 64                  tanh                  tanh    0.000005                   36                2  COMPLETE
4         4  0.000063 2024-05-13 02:06:56.544847 2024-05-13 02:10:55.539220 0 days 00:03:58.994373                128                 swish                   elu    0.001000                   36                3  COMPLETE
82       82  0.000063 2024-05-18 08:36:08.873252 2024-05-18 08:38:15.753265 0 days 00:02:06.880013                512                  tanh                   elu    0.000100                   36                2  COMPLETE
98       98  0.000070 2024-05-18 08:56:58.029931 2024-05-18 08:59:07.074778 0 days 00:02:09.044847                512                  tanh                  tanh    0.000100                   36                2  COMPLETE
170     170  0.000070 2024-05-20 08:36:13.272692 2024-05-20 08:39:05.352024 0 days 00:02:52.079332                512                  tanh                  tanh    0.000100                   36                2  COMPLETE
139     139  0.000070 2024-05-20 07:35:10.562021 2024-05-20 07:43:20.417687 0 days 00:08:09.855666                 64                  tanh                  relu    0.000100                   36                2  COMPLETE
182     182  0.000071 2024-05-20 08:56:24.082058 2024-05-20 09:08:19.095830 0 days 00:11:55.013772                 64                  tanh                  tanh    0.000100                   36                5  COMPLETE
99       99  0.000072 2024-05-18 08:57:45.351764 2024-05-18 08:59:58.536869 0 days 00:02:13.185105                512                  tanh                  tanh    0.000100                   36                2  COMPLETE
141     141  0.000072 2024-05-20 07:42:58.214157 2024-05-20 07:51:01.602827 0 days 00:08:03.388670                 64                  tanh                  relu    0.000100                   36                2  COMPLETE
